TEAM,GP,W,L,WIN%,MIN,EFG%,FTA RATE,TOV%,OREB%,OPP EFG%,OPP FTA RATE,OPP TOV%,OPP OREB%
Cleveland Cavaliers,82,53,29,0.646,"3,956",52,0.287,14.9,26.8,50.2,0.238,14,25.3
Portland Trail Blazers,82,51,31,0.622,"3,971",50.8,0.225,14,24.2,47.6,0.24,12.5,23.8
Chicago Bulls,82,50,32,0.61,"3,976",48.9,0.304,14.5,27,47.3,0.242,12.7,25.6
Dallas Mavericks,82,50,32,0.61,"3,976",51.5,0.262,13.2,23.6,50.3,0.271,16.6,27.8
Toronto Raptors,82,49,33,0.598,"3,971",50.8,0.295,13.4,25.6,50.6,0.283,15,26.7
Washington Wizards,82,46,36,0.561,"3,991",49.9,0.259,15.5,24.9,48.1,0.284,14.3,22.7
New Orleans Pelicans,82,45,37,0.549,"3,956",50.1,0.263,14.1,27.1,49.6,0.257,13,24.9
Oklahoma City Thunder,82,45,37,0.549,"3,966",49.2,0.284,14.8,28.9,48.9,0.286,13.8,24.4
Milwaukee Bucks,82,41,41,0.5,"3,986",49.9,0.258,17.2,25.4,48.7,0.298,17.7,26.7
Boston Celtics,82,40,42,0.488,"3,976",48.9,0.233,13.9,24.7,49.4,0.275,15.2,25
Phoenix Suns,82,39,43,0.476,"3,976",50.1,0.251,15.2,24.5,49.7,0.291,15.6,26.5
Indiana Pacers,82,38,44,0.463,"3,971",48.4,0.266,14.5,24,47.8,0.288,13.2,22.1
Utah Jazz,82,38,44,0.463,"3,941",49.4,0.297,16.5,29.1,49.1,0.267,14.1,23.7
Brooklyn Nets,82,38,44,0.463,"3,986",49.1,0.267,14.4,23.9,50.6,0.253,14.4,26.3
Miami Heat,82,37,45,0.451,"3,946",50,0.306,15.9,23.2,50.5,0.292,15.8,26.6
Charlotte Hornets,82,33,49,0.402,"3,981",45.6,0.269,12.3,22.1,48.7,0.244,13.1,20.7
Detroit Pistons,82,32,50,0.39,"3,966",48.2,0.261,13.9,27.7,50.2,0.249,14.6,25
Denver Nuggets,82,30,52,0.366,"3,976",47.9,0.278,14.2,26.6,50.4,0.32,14.4,25.3
Sacramento Kings,82,29,53,0.354,"3,971",49,0.363,16.4,26.5,50.7,0.268,13.1,24.8
Orlando Magic,82,25,57,0.305,"3,951",49.4,0.23,15.5,23.1,51.4,0.279,15,24
Los Angeles Lakers,82,21,61,0.256,"3,986",47.3,0.276,13.6,25.4,51.8,0.311,13.4,23.7
Philadelphia 76ers,82,18,64,0.22,"3,961",45.9,0.288,17.9,25.5,49.7,0.298,16.9,27
New York Knicks,82,17,65,0.207,"3,971",47,0.234,15.5,24.5,51.2,0.308,14.9,26.9
Minnesota Timberwolves,82,16,66,0.195,"3,961",46.8,0.309,15.3,26.6,53.7,0.246,15.6,28.4
San Antonio Spurs,82,62,20,0.756,"3,951",53.7,0.24,14.8,22.7,48.2,0.242,14.2,23.6
Oklahoma City Thunder,82,59,23,0.72,"3,961",52,0.303,15.6,26.5,48.8,0.304,15.4,24.4
Los Angeles Clippers,82,57,25,0.695,"3,951",52.6,0.353,14,25,48.4,0.294,15.5,27.5
Indiana Pacers,82,56,26,0.683,"3,956",49,0.29,15.8,24.9,46,0.261,14.3,23.2
Miami Heat,82,54,28,0.659,"3,976",55.4,0.3,15.8,20.6,51.1,0.283,17.6,27
Portland Trail Blazers,82,54,28,0.659,"3,971",50.4,0.27,13.9,28,48.8,0.253,12.2,25.3
Houston Rockets,82,54,28,0.659,"3,966",53.1,0.386,16.3,27.4,48.9,0.255,14,25.9
Golden State Warriors,82,51,31,0.622,"3,966",51.7,0.247,15.4,25.1,47.7,0.292,15.1,23.7
Memphis Grizzlies,82,50,32,0.61,"3,961",49.4,0.248,14.7,28.3,49.7,0.259,15.3,24.3
Dallas Mavericks,82,49,33,0.598,"3,966",52.6,0.253,14.1,24.6,51.5,0.303,16.5,27.3
Toronto Raptors,82,48,34,0.585,"3,991",49.8,0.306,14.8,27.2,49.3,0.315,15.6,25.1
Chicago Bulls,82,48,34,0.585,"3,986",47.1,0.29,15.9,27.2,47.1,0.25,15.3,24.6
Phoenix Suns,82,48,34,0.585,"3,951",51.9,0.293,15.6,26.4,49.6,0.309,15.5,26.3
Washington Wizards,82,44,38,0.537,"4,011",50.6,0.248,15.1,25.2,50.4,0.288,16.5,24.3
Brooklyn Nets,82,44,38,0.537,"3,976",51.4,0.313,15.4,21.7,50.9,0.311,16.7,27.7
