G,Date,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
37,1/13/13,NOH,W,100.0000,87.0000,35.0000,81.0000,0.4320,11.0000,30.0000,0.3670,19.0000,25.0000,0.7600,10.0000,45.0000,24.0000,6.0000,5.0000,9.0000,21.0000,33.0000,82.0000,0.4020,4.0000,23.0000,0.1740,17.0000,22.0000,0.7730,12.0000,47.0000,14.0000,6.0000,4.0000,13.0000,23.0000
38,1/17/13,DET,W,102.0000,87.0000,33.0000,72.0000,0.4580,11.0000,31.0000,0.3550,25.0000,31.0000,0.8060,10.0000,44.0000,17.0000,9.0000,5.0000,16.0000,22.0000,35.0000,79.0000,0.4430,6.0000,17.0000,0.3530,11.0000,22.0000,0.5000,11.0000,36.0000,22.0000,7.0000,4.0000,15.0000,21.0000
39,1/21/13,BRK,L,85.0000,88.0000,34.0000,84.0000,0.4050,6.0000,21.0000,0.2860,11.0000,17.0000,0.6470,7.0000,37.0000,14.0000,11.0000,2.0000,5.0000,20.0000,31.0000,74.0000,0.4190,12.0000,24.0000,0.5000,14.0000,20.0000,0.7000,12.0000,52.0000,23.0000,3.0000,4.0000,19.0000,22.0000
40,1/24/13,BOS,W,89.0000,86.0000,32.0000,83.0000,0.3860,8.0000,28.0000,0.2860,17.0000,20.0000,0.8500,11.0000,49.0000,12.0000,7.0000,5.0000,10.0000,23.0000,31.0000,76.0000,0.4080,3.0000,18.0000,0.1670,21.0000,28.0000,0.7500,7.0000,46.0000,18.0000,6.0000,3.0000,12.0000,23.0000
41,1/26/13,PHI,L,80.0000,97.0000,28.0000,81.0000,0.3460,4.0000,27.0000,0.1480,20.0000,23.0000,0.8700,15.0000,47.0000,17.0000,6.0000,4.0000,16.0000,17.0000,38.0000,75.0000,0.5070,6.0000,19.0000,0.3160,15.0000,22.0000,0.6820,4.0000,34.0000,16.0000,6.0000,5.0000,11.0000,22.0000
42,1/27/13,ATL,W,106.0000,104.0000,39.0000,72.0000,0.5420,16.0000,27.0000,0.5930,12.0000,17.0000,0.7060,6.0000,26.0000,22.0000,6.0000,3.0000,14.0000,17.0000,39.0000,65.0000,0.6000,10.0000,23.0000,0.4350,16.0000,20.0000,0.8000,7.0000,30.0000,21.0000,7.0000,2.0000,19.0000,21.0000
43,1/30/13,ORL,W,113.0000,97.0000,47.0000,82.0000,0.5730,14.0000,34.0000,0.4120,5.0000,8.0000,0.6250,10.0000,36.0000,30.0000,4.0000,4.0000,9.0000,18.0000,38.0000,77.0000,0.4940,7.0000,26.0000,0.2690,14.0000,16.0000,0.8750,8.0000,31.0000,14.0000,4.0000,0.0000,10.0000,13.0000
44,2/1/13,MIL,W,96.0000,86.0000,32.0000,76.0000,0.4210,13.0000,35.0000,0.3710,19.0000,26.0000,0.7310,14.0000,50.0000,17.0000,5.0000,4.0000,15.0000,15.0000,33.0000,83.0000,0.3980,8.0000,20.0000,0.4000,12.0000,17.0000,0.7060,12.0000,40.0000,18.0000,7.0000,3.0000,13.0000,22.0000
45,2/2/13,SAC,W,120.0000,81.0000,47.0000,86.0000,0.5470,19.0000,43.0000,0.4420,7.0000,13.0000,0.5380,15.0000,52.0000,34.0000,8.0000,1.0000,17.0000,19.0000,32.0000,76.0000,0.4210,6.0000,21.0000,0.2860,11.0000,15.0000,0.7330,5.0000,30.0000,14.0000,8.0000,2.0000,18.0000,15.0000
46,2/4/13,DET,W,99.0000,85.0000,36.0000,79.0000,0.4560,14.0000,34.0000,0.4120,13.0000,16.0000,0.8130,14.0000,46.0000,22.0000,6.0000,2.0000,15.0000,16.0000,38.0000,90.0000,0.4220,3.0000,13.0000,0.2310,6.0000,12.0000,0.5000,17.0000,43.0000,15.0000,10.0000,5.0000,12.0000,13.0000
47,2/6/13,WAS,L,96.0000,106.0000,34.0000,84.0000,0.4050,9.0000,28.0000,0.3210,19.0000,23.0000,0.8260,12.0000,41.0000,14.0000,5.0000,3.0000,9.0000,12.0000,42.0000,79.0000,0.5320,11.0000,20.0000,0.5500,11.0000,14.0000,0.7860,7.0000,38.0000,23.0000,3.0000,4.0000,10.0000,17.0000
